,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
18,40025,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL309866,=,nM,1300000.0,CHEMBL203,Homo sapiens,IC50,uM,1300.0
19,40026,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77381,=,nM,1360000.0,CHEMBL203,Homo sapiens,IC50,uM,1360.0
20,41220,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76602,=,nM,165000.0,CHEMBL203,Homo sapiens,IC50,uM,165.0
21,41222,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77737,=,nM,250000.0,CHEMBL203,Homo sapiens,IC50,uM,250.0
22,41226,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL308134,=,nM,125000.0,CHEMBL203,Homo sapiens,IC50,uM,125.0
23,42300,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL136491,=,nM,14.0,CHEMBL203,Homo sapiens,IC50,uM,0.014
24,43662,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76557,=,nM,625000.0,CHEMBL203,Homo sapiens,IC50,uM,625.0
25,44685,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL336113,=,nM,1000.0,CHEMBL203,Homo sapiens,IC50,uM,1.0
26,44690,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL133024,=,nM,100.0,CHEMBL203,Homo sapiens,IC50,uM,0.1
27,44695,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL344652,=,nM,13350.0,CHEMBL203,Homo sapiens,IC50,uM,13.35
28,44885,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77814,=,nM,350000.0,CHEMBL203,Homo sapiens,IC50,uM,350.0
29,44886,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL47986,=,nM,14000.0,CHEMBL203,Homo sapiens,IC50,uM,14.0
30,45867,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL138125,=,nM,238.0,CHEMBL203,Homo sapiens,IC50,uM,0.238
31,45872,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL137364,=,nM,64.0,CHEMBL203,Homo sapiens,IC50,uM,0.064
32,45958,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL308339,=,nM,1400000.0,CHEMBL203,Homo sapiens,IC50,uM,1400.0
33,45961,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL78174,=,nM,430000.0,CHEMBL203,Homo sapiens,IC50,uM,430.0
34,46694,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL302552,=,nM,22.0,CHEMBL203,Homo sapiens,IC50,uM,0.022
35,47278,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL309598,=,nM,13500.0,CHEMBL203,Homo sapiens,IC50,uM,13.5
36,47933,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL67057,=,nM,4.5,CHEMBL203,Homo sapiens,IC50,uM,0.0045
37,48459,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL332096,=,nM,508.0,CHEMBL203,Homo sapiens,IC50,uM,0.508
38,48552,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77387,=,nM,450000.0,CHEMBL203,Homo sapiens,IC50,uM,450.0
39,49320,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL432903,=,nM,200.0,CHEMBL203,Homo sapiens,IC50,uM,0.2
40,49323,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL69964,=,nM,210.0,CHEMBL203,Homo sapiens,IC50,uM,0.21
41,49326,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL65848,=,nM,1410.0,CHEMBL203,Homo sapiens,IC50,uM,1.41
42,49986,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL78184,=,nM,833000.0,CHEMBL203,Homo sapiens,IC50,uM,833.0
43,49988,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76985,=,nM,47000.0,CHEMBL203,Homo sapiens,IC50,uM,47.0
44,49992,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL145,=,nM,1200000.0,CHEMBL203,Homo sapiens,IC50,uM,1200.0
45,50668,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL69629,=,nM,6.5,CHEMBL203,Homo sapiens,IC50,uM,0.0065
46,51141,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL136492,=,nM,8400.0,CHEMBL203,Homo sapiens,IC50,uM,8.4
47,51244,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77197,=,nM,1100000.0,CHEMBL203,Homo sapiens,IC50,uM,1100.0
48,51249,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL305695,=,nM,560000.0,CHEMBL203,Homo sapiens,IC50,uM,560.0
49,52474,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76587,=,nM,6500000.0,CHEMBL203,Homo sapiens,IC50,uM,6500.0
50,53212,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL66570,=,nM,13.0,CHEMBL203,Homo sapiens,IC50,uM,0.013
51,53758,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL308048,=,nM,800000.0,CHEMBL203,Homo sapiens,IC50,uM,800.0
52,53761,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL311119,=,nM,60000.0,CHEMBL203,Homo sapiens,IC50,uM,60.0
53,53763,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76905,=,nM,37000.0,CHEMBL203,Homo sapiens,IC50,uM,37.0
54,53765,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77524,=,nM,833000.0,CHEMBL203,Homo sapiens,IC50,uM,833.0
55,54402,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL305194,=,nM,29.0,CHEMBL203,Homo sapiens,IC50,uM,0.029
56,54979,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL307250,=,nM,325000.0,CHEMBL203,Homo sapiens,IC50,uM,325.0
57,54990,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL80155,=,nM,6000.0,CHEMBL203,Homo sapiens,IC50,uM,6.0
58,56107,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL343352,=,nM,200.0,CHEMBL203,Homo sapiens,IC50,uM,0.2
59,57335,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL52765,=,nM,44.0,CHEMBL203,Homo sapiens,IC50,uM,0.044
60,57444,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL311564,=,nM,450000.0,CHEMBL203,Homo sapiens,IC50,uM,450.0
61,57445,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76642,=,nM,75000.0,CHEMBL203,Homo sapiens,IC50,uM,75.0
62,58119,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL308645,=,nM,4.7,CHEMBL203,Homo sapiens,IC50,uM,0.0047
63,58122,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL67003,=,nM,1.8,CHEMBL203,Homo sapiens,IC50,uM,0.0018
64,58604,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL307248,=,nM,640000.0,CHEMBL203,Homo sapiens,IC50,uM,640.0
65,60010,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL310958,=,nM,225000.0,CHEMBL203,Homo sapiens,IC50,uM,225.0
66,60019,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL78005,=,nM,350000.0,CHEMBL203,Homo sapiens,IC50,uM,350.0
67,61241,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL134312,=,nM,11.0,CHEMBL203,Homo sapiens,IC50,uM,0.011
68,61373,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77243,=,nM,55000.0,CHEMBL203,Homo sapiens,IC50,uM,55.0
69,61374,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL80745,=,nM,1200.0,CHEMBL203,Homo sapiens,IC50,uM,1.2
70,61378,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77778,=,nM,450000.0,CHEMBL203,Homo sapiens,IC50,uM,450.0
71,62047,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL305246,=,nM,2.8,CHEMBL203,Homo sapiens,IC50,uM,0.0028
72,62054,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL69966,=,nM,18.0,CHEMBL203,Homo sapiens,IC50,uM,0.018
73,62149,CHEMBL679674,Inhibition of Epidermal growth factor receptor,B,CHEMBL47940,=,nM,3200.0,CHEMBL203,Homo sapiens,IC50,uM,3.2
74,62715,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL57712,=,nM,1300000.0,CHEMBL203,Homo sapiens,IC50,uM,1300.0
75,62720,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77869,=,nM,200000.0,CHEMBL203,Homo sapiens,IC50,uM,200.0
76,63367,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL69358,=,nM,1.2,CHEMBL203,Homo sapiens,IC50,uM,0.0012
77,63847,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL137189,=,nM,200.0,CHEMBL203,Homo sapiens,IC50,uM,0.2
78,63852,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL137617,=,nM,39.0,CHEMBL203,Homo sapiens,IC50,uM,0.039
79,63857,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL137027,=,nM,482.0,CHEMBL203,Homo sapiens,IC50,uM,0.482
80,64040,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL78257,=,nM,800.0,CHEMBL203,Homo sapiens,IC50,uM,0.8
81,64049,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL76082,=,nM,560000.0,CHEMBL203,Homo sapiens,IC50,uM,560.0
82,64050,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77595,=,nM,850000.0,CHEMBL203,Homo sapiens,IC50,uM,850.0
83,65265,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL309334,=,nM,2500.0,CHEMBL203,Homo sapiens,IC50,uM,2.5
84,65267,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL310514,=,nM,260000.0,CHEMBL203,Homo sapiens,IC50,uM,260.0
85,66030,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL304971,=,nM,410.0,CHEMBL203,Homo sapiens,IC50,uM,0.41
86,66033,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL69071,=,nM,5.9,CHEMBL203,Homo sapiens,IC50,uM,0.0059
87,66490,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL137534,=,nM,38.0,CHEMBL203,Homo sapiens,IC50,uM,0.038
88,66495,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL137788,=,nM,335.0,CHEMBL203,Homo sapiens,IC50,uM,0.335
89,67606,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL424093,=,nM,25.0,CHEMBL203,Homo sapiens,IC50,uM,0.025
90,67808,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77030,=,nM,2400.0,CHEMBL203,Homo sapiens,IC50,uM,2.4
91,67822,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL78150,=,nM,460000.0,CHEMBL203,Homo sapiens,IC50,uM,460.0
92,68470,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL264382,=,nM,1.1,CHEMBL203,Homo sapiens,IC50,uM,0.0011
93,69112,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL308133,=,nM,1500000.0,CHEMBL203,Homo sapiens,IC50,uM,1500.0
94,69116,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL307179,=,nM,160000.0,CHEMBL203,Homo sapiens,IC50,uM,160.0
95,69854,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL305782,=,nM,180.0,CHEMBL203,Homo sapiens,IC50,uM,0.18
96,69857,CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,CHEMBL308672,=,nM,450.0,CHEMBL203,Homo sapiens,IC50,uM,0.45
97,70342,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL133023,=,nM,24.0,CHEMBL203,Homo sapiens,IC50,uM,0.024
98,70559,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL310400,=,nM,375000.0,CHEMBL203,Homo sapiens,IC50,uM,375.0
99,71575,CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,CHEMBL136674,=,nM,71.0,CHEMBL203,Homo sapiens,IC50,uM,0.071
100,71725,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL73820,=,nM,25000.0,CHEMBL203,Homo sapiens,IC50,uM,25.0
101,71727,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL79064,=,nM,230000.0,CHEMBL203,Homo sapiens,IC50,uM,230.0
102,71728,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77803,=,nM,500.0,CHEMBL203,Homo sapiens,IC50,uM,0.5
103,71729,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL75718,=,nM,2400000.0,CHEMBL203,Homo sapiens,IC50,uM,2400.0
104,71733,CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,CHEMBL77298,=,nM,153000.0,CHEMBL203,Homo sapiens,IC50,uM,153.0
105,78012,CHEMBL679949,Evaluated for inhibitory activity towards tyrosine kinase Epidermal growth factor receptor,B,CHEMBL432941,=,nM,8880.0,CHEMBL203,Homo sapiens,IC50,uM,8.88
106,81208,CHEMBL674698,Inhibition of Epidermal growth factor receptor,B,CHEMBL322395,=,nM,3000.0,CHEMBL203,Homo sapiens,IC50,nM,3000.0
107,84549,CHEMBL679949,Evaluated for inhibitory activity towards tyrosine kinase Epidermal growth factor receptor,B,CHEMBL431996,=,nM,56500.0,CHEMBL203,Homo sapiens,IC50,uM,56.5
108,98667,CHEMBL679949,Evaluated for inhibitory activity towards tyrosine kinase Epidermal growth factor receptor,B,CHEMBL86531,=,nM,29100.0,CHEMBL203,Homo sapiens,IC50,uM,29.1
109,105739,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,B,CHEMBL138691,=,nM,2282.0,CHEMBL203,Homo sapiens,IC50,nM,2282.0
110,106878,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,B,CHEMBL139307,=,nM,194.0,CHEMBL203,Homo sapiens,IC50,nM,194.0
111,107298,CHEMBL680019,Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase,B,CHEMBL322298,=,nM,200.0,CHEMBL203,Homo sapiens,IC50,uM,0.2
112,107302,CHEMBL680019,Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase,B,CHEMBL111434,=,nM,670.0,CHEMBL203,Homo sapiens,IC50,uM,0.67
113,107306,CHEMBL680019,Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase,B,CHEMBL111197,=,nM,30.0,CHEMBL203,Homo sapiens,IC50,uM,0.03
114,107991,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,B,CHEMBL136058,=,nM,8.8,CHEMBL203,Homo sapiens,IC50,nM,8.8
115,107993,CHEMBL677213,Inhibition of EGF-stimulated autophosphorylation of EGFR in A431 cells,B,CHEMBL136058,=,nM,8.8,CHEMBL203,Homo sapiens,IC50,nM,8.8
116,108863,CHEMBL683041,Inhibition of Epidermal Growth Factor Receptor (EGFR) autophosphorylation,B,CHEMBL939,=,nM,515.0,CHEMBL203,Homo sapiens,IC50,uM,0.515
117,108868,CHEMBL683041,Inhibition of Epidermal Growth Factor Receptor (EGFR) autophosphorylation,B,CHEMBL95320,=,nM,850.0,CHEMBL203,Homo sapiens,IC50,uM,0.85
118,110218,CHEMBL677391,Inhibition of tyrosine phosphorylation activity of the epidermal growth factor receptor (EGFR) tyrosine kinase from human A-431 carcinoma cell-shed membrane vesicles,B,CHEMBL292323,=,nM,6500.0,CHEMBL203,Homo sapiens,IC50,uM,6.5
119,110480,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,B,CHEMBL545315,=,nM,7.4,CHEMBL203,Homo sapiens,IC50,nM,7.4
120,110482,CHEMBL677213,Inhibition of EGF-stimulated autophosphorylation of EGFR in A431 cells,B,CHEMBL545315,=,nM,7.4,CHEMBL203,Homo sapiens,IC50,nM,7.4
121,111014,CHEMBL680019,Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase,B,CHEMBL111365,=,nM,1300.0,CHEMBL203,Homo sapiens,IC50,uM,1.3
122,111936,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,B,CHEMBL422292,=,nM,51.0,CHEMBL203,Homo sapiens,IC50,nM,51.0
123,112452,CHEMBL680019,Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase,B,CHEMBL113023,=,nM,250.0,CHEMBL203,Homo sapiens,IC50,uM,0.25
124,113112,CHEMBL677391,Inhibition of tyrosine phosphorylation activity of the epidermal growth factor receptor (EGFR) tyrosine kinase from human A-431 carcinoma cell-shed membrane vesicles,B,CHEMBL304414,=,nM,10000.0,CHEMBL203,Homo sapiens,IC50,uM,10.0
125,113789,CHEMBL680019,Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase,B,CHEMBL106232,=,nM,4500.0,CHEMBL203,Homo sapiens,IC50,uM,4.5
126,113793,CHEMBL680019,Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase,B,CHEMBL327127,=,nM,90.0,CHEMBL203,Homo sapiens,IC50,uM,0.09
127,114538,CHEMBL677390,Inhibition of human epidermal growth factor receptor (EGFR),B,CHEMBL293261,=,nM,850.0,CHEMBL203,Homo sapiens,IC50,uM,0.85
128,115581,CHEMBL679549,Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD),B,CHEMBL267019,=,nM,2500.0,CHEMBL203,Homo sapiens,IC50,uM,2.5
129,115912,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,B,CHEMBL285063,=,nM,2.7,CHEMBL203,Homo sapiens,IC50,nM,2.7
130,115915,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,B,CHEMBL136404,=,nM,7.7,CHEMBL203,Homo sapiens,IC50,nM,7.7
131,116920,CHEMBL677391,Inhibition of tyrosine phosphorylation activity of the epidermal growth factor receptor (EGFR) tyrosine kinase from human A-431 carcinoma cell-shed membrane vesicles,B,CHEMBL291979,=,nM,54100.0,CHEMBL203,Homo sapiens,IC50,uM,54.1
132,116922,CHEMBL677391,Inhibition of tyrosine phosphorylation activity of the epidermal growth factor receptor (EGFR) tyrosine kinase from human A-431 carcinoma cell-shed membrane vesicles,B,CHEMBL62843,=,nM,100000.0,CHEMBL203,Homo sapiens,IC50,uM,100.0
133,117229,CHEMBL677216,Inhibition of autophosphorylation of EGFR in A431 cells,B,CHEMBL434827,=,nM,21.0,CHEMBL203,Homo sapiens,IC50,nM,21.0
134,117231,CHEMBL679948,Inhibition of EGF-stimulated autophosphorylation of EGFR in A431 cells,B,CHEMBL434827,=,nM,21.0,CHEMBL203,Homo sapiens,IC50,nM,21.0
135,118168,CHEMBL677391,Inhibition of tyrosine phosphorylation activity of the epidermal growth factor receptor (EGFR) tyrosine kinase from human A-431 carcinoma cell-shed membrane vesicles,B,CHEMBL64430,=,nM,5000.0,CHEMBL203,Homo sapiens,IC50,uM,5.0
